"Subj","#","Title","CRN","Sec","Type","Start Time","End Time","Days","Credits","Building","Room","Instructor","Max Enrollment","Current Enrollment","Attr","Prerequisites"
"LCL","908","Advanced Intellectual Property and Transaction Clinic","14039","01","CLN","Hours Arranged","TBA","TBA","2","TBA","","LaRae-Perez, Cassandra","4","2","LEXP","( LCL 935 or LCL 935 with minimum grade of P ) and ( LCL 936 or LCL 936 with minimum grade of P )"
"LCL","917","Criminal Practice Clinic","14040","01","CLN","Hours Arranged","TBA","TBA","3","TBA","","Davis, Melissa L","10","2","LEXP","LGP 924 and LGP 951 and LCR 906 May be taken concurrently"
"LCL","918","Criminal Practice Class","14041","01","LEC","17:15","20:15","W","2","UNHL","227","Davis, Melissa L","10","2","LEXP","LCR 906 May be taken concurrently"
"LCL","924","Advanced Criminal Practice Clinic","14042","01","CLN","Hours Arranged","TBA","TBA","3","TBA","","Jefferson, Julian B","6","0","LEXP","LGP 924 and LGP 951 and LCR 906 and LCL 917 and LCL 918"
"LCL","935","Intellectual Property and Transaction Class","14043","01","LEC","17:15","19:15","R","2","UNHL","201","LaRae-Perez, Cassandra","8","0","LEXP",""
"LCL","935","Intellectual Property and Transaction Class","15846","1LH","LEC","Hours Arranged","TBA","TBA","2","ONLINE","","TBA","12","0","LEXP",""
"LCL","936","Intellectual Property and Transaction Clinic","14044","01","CLN","Hours Arranged","TBA","TBA","2","TBA","","LaRae-Perez, Cassandra","11","6","LEXP",""
"LCL","936","Intellectual Property and Transaction Clinic","15847","1LH","CLN","Hours Arranged","TBA","TBA","2","ONLINE","","TBA","12","2","LEXP",""
"LCR","821","Human Trafficking I","15858","1ON","SEM","Hours Arranged","TBA","TBA","3","ONLINE","","Steinberg, Corey","20","0","",""
"LCR","824","International Criminal Law and Justice Seminar","15859","1ON","SEM","Hours Arranged","TBA","TBA","3","ONLINE","","DeLena, Joanne","20","0","",""
"LCR","827","Piracy and Terrorism","15860","1ON","SEM","Hours Arranged","TBA","TBA","2","ONLINE","","Zuckerman, Mark","20","0","",""
"LCR","829","Capstone Research Project","15857","1ON","RES","Hours Arranged","TBA","TBA","3","ONLINE","","Scherr, Albert E","5","0","",""
"LCR","906","Criminal Procedure: The Law of Criminal Investigation","14049","01","LEC","13:00","14:30","TR","3","UNHL","200","Fidler, Mailyn","65","0","LBAR",""
"LCR","907","Criminal Procedure: The Law of Criminal Adjudication","14050","01","LEC","15:30","17:00","TR","2","UNHL","229","Mirhashem, Behzad","65","0","LBAR",""
"LCR","915","Cybersecurity & Cybercrime","15058","1LH","LEC","Hours Arranged","TBA","TBA","3","ONLINE","","Fidler, Mailyn","40","0","",""
"LD","600","Becoming an Effective Leader","15364","01","LEC","Hours Arranged","TBA","TBA","4","ONLINE","","Caban, Stephanie","30","0","WRIT",""
"LD","660","Leadership Theory","13403","01","LEC","Hours Arranged","TBA","TBA","4","ONLINE","","Levey, Robert Patrick","30","0","","LD 600 or LD 600G"
"LD","725","Volunteer Leadership","13412","01","LEC","Hours Arranged","TBA","TBA","4","ONLINE","","Martino, Dennis","30","0","",""
"LD","804","Leading Teams","13405","01","LEC","Hours Arranged","TBA","TBA","3","ONLINE","","Anzalone, Jono","30","0","",""
"LD","804","Leading Teams","13406","02","LEC","Hours Arranged","TBA","TBA","3","ONLINE","","Anzalone, Jono","30","0","",""
"LD","810","Change Management and Communication","13407","01","LEC","Hours Arranged","TBA","TBA","3","ONLINE","","Newsome, Michelle","30","0","",""
"LD","810","Change Management and Communication","13408","02","LEC","Hours Arranged","TBA","TBA","3","ONLINE","","Newsome, Michelle","30","0","",""
"LD","820","Cultivating Your Leadership Capabilities","14249","01","LEC","Hours Arranged","TBA","TBA","3","ONLINE","","Ammons, Michael","30","0","",""
"LD","820","Cultivating Your Leadership Capabilities","14618","02","LEC","Hours Arranged","TBA","TBA","3","ONLINE","","Ammons, Michael","30","0","",""
"LD","821","Ethical Decision-Making","13409","01","LEC","Hours Arranged","TBA","TBA","3","ONLINE","","Geiger, Lora","30","0","",""
"LD","825","Volunteer Leadership","13411","01","LEC","Hours Arranged","TBA","TBA","3","ONLINE","","Martino, Dennis","30","0","",""
"LD","831","Conflict Management & Negotiation","13413","01","LEC","Hours Arranged","TBA","TBA","3","ONLINE","","Wink, Laurel","30","0","",""
"LD","850","Leadership Integrative Capstone","13414","01","CPP","18:10","20:00","T","3","ONLINE","","Mews, Joseph","20","0","",""
"LDWS","902","DWS Business Transactions","14052","01","LEC","15:00","16:30","MW","3","UNHL","205","Orcutt, John L","24","0","",""
"LDWS","942","DWS Pretrial Advocacy","14053","01","EXP","08:30","10:30","MR","4","UNHL","175","Garland, Sam R","12","0","LWI",""
"LDWS","942","DWS Pretrial Advocacy","14054","02","EXP","08:30","10:30","MR","4","UNHL","228","Samdperil, Richard E","12","0","LWI",""
"LGP","823","International Legal Research","15855","1ON","LEC","Hours Arranged","TBA","TBA","2","ONLINE","","Zago, Susan Drisko","25","0","",""
"LGP","900","The Legal Profession","14055","01","LEC","09:00","10:15","W","1","UNHL","282","Sirota, Neil","80","0","",""
"LGP","900","The Legal Profession","14056","02","LEC","11:30","12:45","F","1","UNHL","204","Sirota, Neil","80","0","",""
"LGP","903","Administrative Process","15055","01","LEC","11:00","12:30","MW","3","UNHL","205","Forgues, Chantalle","70","0","",""
"LGP","904","Current Issues in Health Law and Policy","14278","01","SEM","08:30","10:30","W","2","UNHL","201","Hodder, Lucy C","20","0","LWI",""
"LGP","906","Statutory Interpretation","14057","01","EXP","15:00","17:00","M","2","UNHL","200","Laplante, Joseph N.","15","0","",""
"LGP","909","Civil Procedure","14058","01","LEC","09:00","11:00","TF","4","UNHL","229","Budd, Jordan C","80","0","",""
"LGP","909","Civil Procedure","14059","02","LEC","13:00","15:00","TF","4","UNHL","229","Budd, Jordan C","80","0","",""
"LGP","917","Comparative Constitutional Law","14136","01","LEC","15:00","17:00","R","2","UNHL","201","Budd, Jordan C","15","0","",""
"LGP","918","Constitutional Law I","14060","1LH","LEC","Hours Arranged","TBA","TBA","3","ONLINE","","Pi, Daniel","100","0","",""
"LGP","920","Contracts","14061","01","LEC","09:00","11:00","TF","3","UNHL","204","Frost, Kevin","80","0","",""
"LGP","920","Contracts","14062","02","LEC","13:00","15:00","TF","3","UNHL","204","Dube, Michael J","80","0","",""
"LGP","920","Contracts","14063","1LH","LEC","Hours Arranged","TBA","TBA","3","ONLINE","","Oranburg, Seth C.","100","0","",""
