"Subj","#","Title","Comp Numb","Sec","Lec Lab","Start Time","End Time","Days","Credits","Bldg","Room","Instructor","Max Enrollment","Current Enrollment","Attr","Prerequisites"
"BCOR","1400","Exploring Biology 1","90425","L16","LAB","15:30","18:15","W","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90137","L17","LAB","14:50","17:35","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90144","L18","LAB","14:50","17:35","T","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90143","L19","LAB","18:00","20:45","T","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","91622","L20","LAB","14:50","17:35","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90138","L21","LAB","15:30","18:15","M","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","91600","L22","LAB","15:30","18:15","W","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","91599","L23","LAB","18:00","20:45","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","91623","L24","LAB","18:40","21:25","W","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90146","L25","LAB","18:00","20:45","T","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90145","L26","LAB","18:00","20:45","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","91998","L27","LAB","18:40","21:25","M","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","94315","L28","LAB","18:40","21:25","W","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92640","Z01","LAB","08:30","11:15","M","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92646","Z02","LAB","08:30","11:15","T","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92645","Z03","LAB","08:30","11:15","W","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","94316","Z04","LAB","08:30","11:15","W","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92653","Z05","LAB","08:30","11:15","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92658","Z06","LAB","08:30","11:15","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92659","Z07","LAB","08:30","11:15","F","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92665","Z08","LAB","08:30","11:15","F","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92641","Z09","LAB","12:00","14:45","W","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92648","Z10","LAB","11:40","14:25","T","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92647","Z11","LAB","11:40","14:25","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92660","Z12","LAB","11:40","14:25","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92661","Z13","LAB","12:00","14:45","F","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92642","Z14","LAB","12:00","14:45","M","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92655","Z15","LAB","12:00","14:45","W","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92654","Z16","LAB","15:30","18:15","W","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92643","Z17","LAB","14:50","17:35","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92650","Z18","LAB","14:50","17:35","T","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92649","Z19","LAB","18:00","20:45","T","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92662","Z20","LAB","14:50","17:35","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92644","Z21","LAB","15:30","18:15","M","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92657","Z22","LAB","15:30","18:15","W","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92656","Z23","LAB","18:00","20:45","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92663","Z24","LAB","18:40","21:25","W","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92652","Z25","LAB","18:00","20:45","T","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92651","Z26","LAB","18:00","20:45","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92664","Z27","LAB","18:40","21:25","M","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","94317","Z28","LAB","18:40","21:25","W","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92632","ZRA","LEC","08:30","09:20","M W F","4","","","R. Plouffe","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92633","ZRB","LEC","09:40","10:30","M W F","4","","","R. Plouffe","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92634","ZRC","LEC","09:40","10:30","M W F","4","","","R. Guayasamin","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92635","ZRD","LEC","10:50","11:40","M W F","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92636","ZRE","LEC","12:00","12:50","M W F","4","","","R. Lima Cordon","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92637","ZRF","LEC","12:00","12:50","M W F","4","","","R. Guayasamin","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92638","ZRG","LEC","13:10","14:00","M W F","4","","","R. Lima Cordon","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92639","ZRH","LEC","13:10","14:00","M W F","4","","","K. Fatur","0","0","N2",""
"BCOR","1400","Exploring Biology 1","93374","ZRI","LEC","14:20","15:10","M W F","4","","",".. Staff","0","0","N2",""
"BCOR","1400","Exploring Biology 1","93375","ZRJ","LEC","14:20","15:10","M W F","4","","","R. Lima Cordon","0","0","N2",""
"BCOR","1425","Accelerated Biology","90722","A","LEC","10:05","11:20","T R","4","","","B. Ballif","0","0","N2",""
"BCOR","1425","Accelerated Biology","94079","A01","LAB","11:40","14:25","T","4","","","B. Ballif","0","0","N2",""
"BCOR","1425","Accelerated Biology","94080","A02","LAB","14:50","17:35","T","4","","","B. Ballif","0","0","N2",""
"BCOR","1425","Accelerated Biology","90723","A03","LAB","11:40","14:25","R","4","","","B. Ballif","0","0","N2",""
"BCOR","1425","Accelerated Biology","91562","A04","LAB","14:50","17:35","R","4","","","B. Ballif","0","0","N2",""
